Sample,Group,Feed,logFeed,Day,Ct,logCopies,Copies
D11_F12_9,HIGH,1.24E+09,9.09,11,34.5601229,2.858228593,721.4871374
D13-14_F7_20,MED,5.94E+07,7.77,13,34.88114534,2.765742028,583.0986398
D13-14_F7_29,MED,5.94E+07,7.77,13,35.15753176,2.6861151,485.4171316
D13-14_F7_6,MED,5.94E+07,7.77,13,37.15670955,2.110151978,128.8700443
D13-14_F8_16,MED,5.94E+07,7.77,13,33.81076643,3.074118192,1186.091496
D13-14_F8_19,MED,5.94E+07,7.77,13,35.09811466,2.703233167,504.9323159
D13-14_F8_20,MED,5.94E+07,7.77,13,36.17107961,2.394111964,247.8060837
D13-14_F8_5,MED,5.94E+07,7.77,13,38.35815367,1.764015927,58.07857169
D13-14_F9_10,MED,5.94E+07,7.77,13,37.13850218,2.115397521,130.4360147
D13-14_F9_11,MED,5.94E+07,7.77,13,34.4528155,2.889143855,774.7183719
D13-14_F9_12,MED,5.94E+07,7.77,13,33.24956576,3.235800105,1721.076225
D13-14_F9_13,MED,5.94E+07,7.77,13,37.08673206,2.130312494,134.993387
D13-14_F9_14,MED,5.94E+07,7.77,13,34.7185122,2.812596636,649.5261428
D13-14_F9_15,MED,5.94E+07,7.77,13,35.45127982,2.601486284,399.4719451
D13-14_F9_16,MED,5.94E+07,7.77,13,38.32172148,1.774512041,59.49932529
D13-14_F9_17,MED,5.94E+07,7.77,13,36.43975209,2.316707422,207.3516147
D13-14_F9_18,MED,5.94E+07,7.77,13,33.00433796,3.306450234,2025.117535
D13-14_F9_2,MED,5.94E+07,7.77,13,34.51332432,2.871711263,744.2370102
D13-14_F9_22,MED,5.94E+07,7.77,13,35.48428731,2.591976825,390.8200398
D13-14_F9_23,MED,5.94E+07,7.77,13,34.39939075,2.904535526,802.6672179
D13-14_F9_26,MED,5.94E+07,7.77,13,36.04321993,2.430948338,269.7418539
D13-14_F9_28,MED,5.94E+07,7.77,13,35.60097051,2.558360397,361.7099015
D13-14_F9_3,MED,5.94E+07,7.77,13,33.93543154,3.038202174,1091.948545
D13-14_F9_4,MED,5.94E+07,7.77,13,38.41931013,1.74639675,55.76949991
D13-14_F9_5,MED,5.94E+07,7.77,13,36.43943999,2.316797338,207.3945492
D13-14_F9_7,MED,5.94E+07,7.77,13,36.30738669,2.354841894,226.3820009
D13-14_F9_9,MED,5.94E+07,7.77,13,36.65408982,2.254956723,179.8691669
D13-14_F10_1,HIGH,1.24E+09,9.09,13,36.80632877,2.211096681,162.5910671
D13-14_F10_4,HIGH,1.24E+09,9.09,13,39.0765705,1.557040038,36.06118864
D13/14_F11_1,HIGH,1.24E+09,9.09,13,39.58730546,1.409897298,25.69788008
D13/14_F11_2,HIGH,1.24E+09,9.09,13,37.44909975,2.025914363,106.1486226
D13/14_F11_3,HIGH,1.24E+09,9.09,13,34.91097875,2.757147021,571.6721317
D13/14_F11_4,HIGH,1.24E+09,9.09,13,37.61641096,1.977712001,94.99746173
D13/14_F11_5,HIGH,1.24E+09,9.09,13,36.87684467,2.190781051,155.1604572
D13/14_F11_6,HIGH,1.24E+09,9.09,13,37.14859086,2.112490972,129.5659763
D13/14_F12_11,HIGH,1.24E+09,9.09,13,36.02755505,2.43546139,272.5595415
D13/14_F12_12,HIGH,1.24E+09,9.09,13,38.28260189,1.785782395,61.06359868
D13/14_F12_13,HIGH,1.24E+09,9.09,13,38.20240155,1.808888113,64.40033294
D13/14_F12_14,HIGH,1.24E+09,9.09,13,35.18539656,2.678087252,476.5267137
D13/14_F12_20,HIGH,1.24E+09,9.09,13,36.13243905,2.40524431,254.2402516
D13/14_F12_21,HIGH,1.24E+09,9.09,13,38.64511961,1.681341039,48.01103178
D13/14_F12_22,HIGH,1.24E+09,9.09,13,38.2373843,1.798809583,62.92302361
D13/14_F12_24,HIGH,1.24E+09,9.09,13,38.99678287,1.580026855,38.0212906
D13/14_F12_25,HIGH,1.24E+09,9.09,13,35.99599009,2.444555257,278.3269475
D13/14_F12_4,HIGH,1.24E+09,9.09,13,36.41657229,2.323385525,210.56468
D13/14_F12_9,HIGH,1.24E+09,9.09,13,35.67006022,2.538455651,345.5060458
